concurso,data,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15
3100,2024-09-30,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15
3099,2024-09-28,02,03,05,06,07,08,09,10,11,12,13,14,15,16,24
3098,2024-09-26,01,03,04,05,07,08,10,11,12,13,14,16,18,20,25
3097,2024-09-24,01,02,03,04,06,07,08,10,11,12,14,15,17,21,25
3096,2024-09-21,02,04,05,06,07,08,09,11,12,13,14,15,16,18,23
3095,2024-09-19,01,02,03,05,06,07,09,10,11,12,14,15,17,19,24
3094,2024-09-17,01,02,03,04,05,07,08,09,11,12,13,14,16,22,25
3093,2024-09-14,01,03,04,05,06,08,09,11,12,13,14,15,16,21,24
3092,2024-09-12,01,02,03,05,06,07,08,09,10,11,12,13,14,15,16
3091,2024-09-10,02,03,04,05,06,07,09,10,11,12,13,14,15,16,25
